name,Manufacturer,Part #,Form Factor,Interface,Buffer Cache,BD-ROM Speed,DVD-ROM Speed,CD-ROM Speed,BD-R Speed,BD-R Dual-Layer Speed,BD-RE Speed,BD-RE Dual-Layer Speed,DVD+R Speed,DVD+RW Speed,DVD+R Dual-Layer Speed,DVD-R Speed,DVD-RW Speed,DVD-R Dual-Layer Speed,DVD-RAM Speed,CD-R Speed,CD-RW Speed,User Rating,Price
Asus DRW-24F1ST,Asus,DRW-24F1ST,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,5X,48X,24X,"(150 Ratings, 4.3 Average)",$49.99
LG GH24NSC0B,LG,GH24NSC0B,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,5X,48X,24X,"(60 Ratings, 4.2 Average)",$31.98
Silverstone TOB04,Silverstone,SST-TOB04,"5.25"" Slim",SATA 1.5 Gb/s,4 MB,6X,8X,24X,6X,6X,6X,4X,8X,8X,8X,8X,8X,8X,8X,24X,24X,,$172.39+
LG GH24NSD1,LG,GH24NSD1,"5.25""",SATA 6.0 Gb/s,2 MB,,16X,48X,,,,,24X,8X,16X,24X,6X,12X,12X,48X,32X,"(14 Ratings, 4.2 Average)",
LG GH24NSB0,LG,GH24NSB0,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,5X,48X,24X,"(188 Ratings, 4.3 Average)",$35.99
LG BH16NS55.AUAR10B,LG,BH16NS55.AUAR10B,"5.25""",SATA 6.0 Gb/s,,,,40X,8X,8X,8X,6X,16X,12X,12X,16X,12X,12X,5X,48X,40X,"(4 Ratings, 4.5 Average)",$141.78+
Asus BC-12D2HT,Asus,"BC-12D2HT, 90DD01K0-B20000, 90DD0230-B20010, BC-12D2HT/BLK/G/AS","5.25""",SATA 6.0 Gb/s,,,,,12X,8X,8X,6X,16X,8X,8X,6X,12X,8X,5X,48X,24X,"(8 Ratings, 5.0 Average)",
LG BU40N,LG,BU40N,"5.25"" Slim",SATA 6.0 Gb/s,4 MB,,,,6X,6X,2X,6X,8X,8X,6X,8X,6X,6X,5X,24X,16X,"(1 Rating, 5.0 Average)",$114.07
Plextor PX-891SAF,Plextor,PX-891SAF,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,12X,24X,6X,12X,12X,48X,32X,,$30.95
Pioneer BDR-209DBK,Pioneer,BDR-209DBK,"5.25""",SATA 3.0 Gb/s,4 MB,12X,16X,40X,16X,14X,2X,2X,16X,8X,8X,16X,6X,8X,,40X,24X,"(39 Ratings, 4.6 Average)",$119.90
LG WH16NS60,LG,WH16NS60,"5.25""",SATA 6.0 Gb/s,,,,,16X,12X,,,,,,,,,5X,48X,24X,"(4 Ratings, 4.0 Average)",
