name,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Intel Core i7-12700KF         (57),Intel,BX8071512700KF,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,20,3.6 GHz,5 GHz,12 MB,25 MB,125 W,None,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 9 5900X         (245),AMD,100-100000061WOF,AMD Ryzen 9,Zen 3,Vermeer,AM4,12,24,3.7 GHz,4.8 GHz,6 MB,64 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core Ultra 9 285K         (3),Intel,BX80768285K,Intel Core Ultra 9,Arrow Lake,Arrow Lake,LGA1851,24,24,3.7 GHz,5.7 GHz,40 MB,36 MB,125 W,Intel Xe,256 GB,Yes,No,Boxed,3 nm,No,No
AMD Threadripper 3990X         (1),AMD,100-100000163WOF,AMD Threadripper,Zen 2,Castle Peak,sTRX4,64,128,2.9 GHz,4.3 GHz,32 MB,256 MB,280 W,None,1024 GB,Yes,No,Boxed,7 nm,No,Yes
AMD Ryzen 5 4500         (22),AMD,100-100000644BOX,AMD Ryzen 5,Zen 2,Renoir-X,AM4,6,12,3.6 GHz,4.1 GHz,3 MB,8 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 3700X         (632),AMD,"Ryzen 7 3700X, 100-100000071BOX",AMD Ryzen 7,Zen 2,Matisse,AM4,8,16,3.6 GHz,4.4 GHz,4 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
Intel Core i5-12600KF         (85),Intel,BX8071512600KF,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,16,3.7 GHz,4.9 GHz,9.5 MB,20 MB,125 W,None,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 5800XT         (2),AMD,100-100001582BOX,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,16,3.8 GHz,4.8 GHz,4 MB,32 MB,105 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 5 7500F         (20),AMD,100-000000597,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,3.7 GHz,5 GHz,6 MB,32 MB,65 W,None,128 GB,Yes,No,OEM/Tray,5 nm,No,Yes
Intel Core i5-13400F         (17),Intel,BX8071513400F,Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,10,16,2.5 GHz,4.6 GHz,9.5 MB,20 MB,65 W,None,192 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 5600G         (146),AMD,100-100000252BOX,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,12,3.9 GHz,4.4 GHz,3 MB,16 MB,65 W,Radeon Vega 7,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
Intel Core i5-14600KF         (8),Intel,BX8071514600KF,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,14,20,3.5 GHz,5.3 GHz,20 MB,24 MB,125 W,None,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
Intel Core i7-14700KF         (14),Intel,BX8071514700KF,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,28,3.4 GHz,5.6 GHz,28 MB,33 MB,125 W,None,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 5700G         (49),AMD,100-100000263BOX,AMD Ryzen 7,Zen 3,Cezanne,AM4,8,16,3.8 GHz,4.6 GHz,4 MB,16 MB,65 W,Radeon Vega 8,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 5 8600G         (13),AMD,100-100001237BOX,AMD Ryzen 5,Zen 4,Phoenix 1,AM5,6,12,4.3 GHz,5 GHz,6 MB,16 MB,65 W,Radeon 760M,,No,Yes,Boxed,4 nm,Yes,Yes
AMD Ryzen 9 7950X         (48),AMD,100-100000514WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,16,32,4.5 GHz,5.7 GHz,16 MB,64 MB,170 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 9 9900X3D         (0),AMD,"100-1000001368WOF, AMD-Ryzen-9-9900X3D, 100-100001368WOF",AMD Ryzen 9,Zen 5,Granite Ridge,AM5,12,24,4.4 GHz,5.5 GHz,12 MB,128 MB,120 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 5 8400F         (1),AMD,100-100001591BOX,AMD Ryzen 5,Zen 4,Phoenix 2,AM5,6,12,4.2 GHz,4.7 GHz,6 MB,16 MB,65 W,None,256 GB,No,Yes,Boxed,4 nm,Yes,Yes
Intel Core i3-12100F         (54),Intel,BX8071512100F,Intel Core i3,Alder Lake,Alder Lake,LGA1700,4,8,3.3 GHz,4.3 GHz,5 MB,12 MB,58 W,None,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 7 5800X3D         (122),AMD,100-100000651WOF,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,8,16,3.4 GHz,4.5 GHz,4 MB,96 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i5-12600K         (159),Intel,BX8071512600K,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,16,3.7 GHz,4.9 GHz,9.5 MB,20 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 9 5950X         (110),AMD,100-100000059WOF,AMD Ryzen 9,Zen 3,Vermeer,AM4,16,32,3.4 GHz,4.9 GHz,8 MB,64 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i9-12900K         (70),Intel,BX8071512900K,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,24,3.2 GHz,5.2 GHz,14 MB,30 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 9 7950X3D         (67),AMD,100-100000908WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,16,32,4.2 GHz,5.7 GHz,16 MB,128 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 7 5700         (3),AMD,"100-000000743BOX, 100-100000743BOX, Ryzen 7 5700",AMD Ryzen 7,Zen 3,Cezanne,AM4,8,16,3.7 GHz,4.6 GHz,4 MB,16 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
Intel Core i7-13700K         (131),Intel,"BX8071513700K, i7-13700K",Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,24,3.4 GHz,5.4 GHz,24 MB,30 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i9-14900KF         (13),Intel,BX8071514900KF,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,32,3.2 GHz,6 GHz,32 MB,36 MB,125 W,None,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 8700G         (3),AMD,100-100001236BOX,AMD Ryzen 7,Zen 4,Phoenix 1,AM5,8,16,4.2 GHz,5.1 GHz,8 MB,16 MB,65 W,Radeon 780M,,No,Yes,Boxed,4 nm,Yes,Yes
AMD Ryzen 5 7600X3D         (20),AMD,100-100001721WOF,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,4.1 GHz,4.7 GHz,6 MB,96 MB,65 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
Intel Core i5-13600KF         (66),Intel,"BX8071513600KF, i5-13600KF",Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,14,20,3.5 GHz,5.1 GHz,20 MB,24 MB,125 W,None,192 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i9-14900KS         (0),Intel,BX8071514900KS,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,32,3.2 GHz,6.2 GHz,32 MB,36 MB,150 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
