name,Manufacturer,Part #,Size,Color,Quantity,Flow Direction,Airflow,Noise Level,PWM,LED,Connector,Controller,Static Pressure
Thermalright TL-C12C-S X5 5-Pack         (4),Thermalright,TL-C12C-S X5,120 mm,Black,5-Pack,Standard,66.17 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack         (11),Corsair,CO-9051006-WW,120 mm,White,3-Pack,Standard,16.44 - 63.1 CFM,,Yes,Addressable RGB,Proprietary PWM,USB,3.8 mmH₂O
Lian Li Uni Fan SL-Infinity         (6),Lian Li,"UF-SLIN140-1B, 14SLIN1B",140 mm,Black,Single,Standard,72.7 CFM,28 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.88 mmH₂O
NZXT F120 RGB Core         (5),NZXT,RF-C12SF-W1,120 mm,White,Single,Standard,78.86 CFM,33.88 dB,Yes,RGB,4-pin PWM + 4-pin 12V RGB,None,2.57 mmH₂O
Lian Li UNI FAN SL Wireless 3-Pack         (2),Lian Li,"12SL1W3B, G99.12SL1W3B.00",120 mm,Black,3-Pack,Standard,64.05 CFM,28.5 dB,Yes,Addressable RGB,4-pin PWM,USB,2.44 mmH₂O
Thermalright TL-M12R-S         (2),Thermalright,TL-M12R-S,120 mm,Black,Single,Reverse,47.6 CFM,23.2 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.31 mmH₂O
be quiet! Silent Wings Pro 4         (21),be quiet!,BL099,140 mm,Black,Single,Standard,97.41 CFM,36.8 dB,Yes,None,4-pin PWM,None,3.64 mmH₂O
Noctua A14 PWM         (146),Noctua,NF-A14 PWM,140 mm,Brown,Single,Standard,68 - 82.5 CFM,19.2 - 24.6 dB,Yes,None,4-pin PWM,None,
ARCTIC P12 Max         (29),ARCTIC,ACFAN00280A,120 mm,Black,Single,Standard,81.04 CFM,,Yes,None,4-pin PWM,None,4.35 mmH₂O
Thermalright TL-S12 X3 3-Pack         (18),Thermalright,TL-S12 X3,120 mm,Black,3-Pack,Standard,47.6 CFM,23.2 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.31 mmH₂O
Lian Li Uni Fan SL-Infinity         (9),Lian Li,"UF-RS-SLIN140-1B, 14RSLIN1B",140 mm,Black / White,Single,Reverse,71.6 CFM,28.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.95 mmH₂O
Thermalright TL-C12C-S         (6),Thermalright,TL-C12C-S,120 mm,Black,Single,Standard,66.17 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
Lian Li UNI FAN TL LCD Wireless 3-Pack         (1),Lian Li,"12RTLLCD1W3B, G99.12RTLLCD1W3B.00",120 mm,Black,3-Pack,Reverse,54.3 CFM,31 dB,Yes,Addressable RGB,4-pin PWM,USB,2.83 mmH₂O
Lian Li UNI FAN TL LCD Wireless 3-Pack         (0),Lian Li,"12RTLLCD1W3W, G99.12RTLLCD1W3W.00",120 mm,White,3-Pack,Reverse,54.3 CFM,31 dB,Yes,Addressable RGB,4-pin PWM,USB,2.83 mmH₂O
