name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Jonsbo Jonsplus Z20         (8),Jonsbo,"Z20 Black, Z20 BK, GEJP-010",MicroATX Desktop,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","363 mm / 14.291""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"382 mm x 198 mm x 335 mm, 15.039"" x 7.795"" x 13.189""","25.338 L, 0.895 ft³"
Jonsbo D32 PRO         (0),Jonsbo,D32 PRO Black,MicroATX Desktop,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 2 x Internal 3.5""",4 x Full-Height,"396 mm x 207 mm x 314 mm, 15.591"" x 8.15"" x 12.362""","25.739 L, 0.909 ft³"
Azza Fighter         (1),Azza,"CSAZ-290, CSAZ-290 FIGHTER",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","320 mm / 12.598""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"390 mm x 195 mm x 450 mm, 15.354"" x 7.677"" x 17.717""","34.222 L, 1.209 ft³"
SAMA SV01         (1),SAMA,SV-01 Black,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"430.276 mm x 235.204 mm x 430.276 mm, 16.94"" x 9.26"" x 16.94""","43.545 L, 1.538 ft³"
Thermaltake Versa H17         (30),Thermaltake,CA-1J1-00S1NN-00,MicroATX Mini Tower,Black,None,None,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","350 mm / 13.78""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"380 mm x 205 mm x 390 mm, 14.961"" x 8.071"" x 15.354""","30.381 L, 1.073 ft³"
Montech AIR 100 ARGB         (16),Montech,"AIR 100 ARGB White, K006, AIR-100-ARGB-WH, K21004160004, AIR 100 ARGB (W)",MicroATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","330 mm / 12.992""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"405 mm x 210 mm x 425 mm, 15.945"" x 8.268"" x 16.732""","36.146 L, 1.276 ft³"
SAMA ARGB-Q5         (10),SAMA,ARGB-Q5-BK,MicroATX Mini Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","345 mm / 13.583""","4 x Internal 2.5"", 2 x Internal 3.5""",4 x Full-Height,"391.16 mm x 208.28 mm x 386.08 mm, 15.4"" x 8.2"" x 15.2""","31.454 L, 1.111 ft³"
HYTE Y70 Touch Infinite         (2),HYTE,"CS-HYTE-Y70TI-WB, CS-HYTE-Y70TTI-WB",ATX Mid Tower,White / Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5""","7 x Half-Height, 4 x Full-Height via Riser","470 mm x 320 mm x 470 mm, 18.504"" x 12.598"" x 18.504""","70.688 L, 2.496 ft³"
MSI MAG FORGE 321R AIRFLOW         (1),MSI,MAG FORGE 321R AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"472.5 mm x 210 mm x 498 mm, 18.602"" x 8.268"" x 19.606""","49.414 L, 1.745 ft³"
Fractal Design Define R5         (61),Fractal Design,FD-CA-DEF-R5-BK,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","310 mm / 12.205"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages","2 x External 5.25"", 8 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"520 mm x 231 mm x 451 mm, 20.472"" x 9.094"" x 17.756""","54.174 L, 1.913 ft³"
